source_title,chunk_id,page,section,ingredient,ingredient_id,matched_text,scope_verified,linkage_type
Safety Assessment of Adenosine as Used in Cosmetics,cir_attachment:cd3b62ad-1279-3043-bf9f-58ee259b08ba:12:Conclusion:5,12,Conclusion,Adenosine,e40cce63-507d-4752-aa9f-ec2319ed1542,adenosine,True,NEW_DOCUMENT
Safety Assessment of Capryloyl Salicylic Acid as Used in Cosmetics,cir_attachment:995efb2f-f539-86e3-8575-19bea03f915e:13:Clinical Studies:0,13,Clinical Studies,Capryloyl Salicylic Acid,1e6a30aa-d018-4389-93fb-ac972c0f2f8f,Capryloyl Salicylic Acid,True,NEW_DOCUMENT
Safety Assessment of Capryloyl Salicylic Acid as Used in Cosmetics,cir_attachment:995efb2f-f539-86e3-8575-19bea03f915e:14:Clinical Studies:1,14,Clinical Studies,Capryloyl Salicylic Acid,1e6a30aa-d018-4389-93fb-ac972c0f2f8f,Capryloyl Salicylic Acid,True,NEW_DOCUMENT
Safety Assessment of Capryloyl Salicylic Acid as Used in Cosmetics,cir_attachment:995efb2f-f539-86e3-8575-19bea03f915e:16:Conclusion:2,16,Conclusion,Capryloyl Salicylic Acid,1e6a30aa-d018-4389-93fb-ac972c0f2f8f,Capryloyl Salicylic Acid,True,NEW_DOCUMENT
Safety Assessment of Hyaluronates as Used in Cosmetics,cir_attachment:dd27a62b-d988-9d8d-aaff-51a43716120d:12:DISCUSSION:3,12,DISCUSSION,Hydrolyzed Hyaluronic Acid,b10aeff6-fa34-4f6e-9f6e-2675ebc7a678,Hydrolyzed Hyaluronic Acid,True,EXISTING_DOCUMENT_REUSE
Safety Assessment of Hyaluronates as Used in Cosmetics,cir_attachment:dd27a62b-d988-9d8d-aaff-51a43716120d:13:CONCLUSION:6,13,CONCLUSION,Hydrolyzed Hyaluronic Acid,b10aeff6-fa34-4f6e-9f6e-2675ebc7a678,Hydrolyzed Hyaluronic Acid,True,EXISTING_DOCUMENT_REUSE
Safety Assessment of Hyaluronates as Used in Cosmetics,cir_attachment:dd27a62b-d988-9d8d-aaff-51a43716120d:12:DISCUSSION:3,12,DISCUSSION,Sodium Acetylated Hyaluronate,8083853c-8070-432e-baf8-ccdb20bef94b,Sodium Acetylated Hyaluronate,True,EXISTING_DOCUMENT_REUSE
Safety Assessment of Hyaluronates as Used in Cosmetics,cir_attachment:dd27a62b-d988-9d8d-aaff-51a43716120d:13:CONCLUSION:6,13,CONCLUSION,Sodium Acetylated Hyaluronate,8083853c-8070-432e-baf8-ccdb20bef94b,Sodium Acetylated Hyaluronate,True,EXISTING_DOCUMENT_REUSE
Safety Assessment of Hyaluronates as Used in Cosmetics,cir_attachment:dd27a62b-d988-9d8d-aaff-51a43716120d:12:DISCUSSION:3,12,DISCUSSION,Hydrolyzed Sodium Hyaluronate,09c1f435-8a40-4035-83e4-26e1bdb00e07,Hydrolyzed Sodium Hyaluronate,True,EXISTING_DOCUMENT_REUSE
Safety Assessment of Hyaluronates as Used in Cosmetics,cir_attachment:dd27a62b-d988-9d8d-aaff-51a43716120d:12:DISCUSSION:3,12,DISCUSSION,Potassium Hyaluronate,524a0419-b69d-4cc3-af02-347c9e2a0207,Potassium Hyaluronate,True,EXISTING_DOCUMENT_REUSE
Safety Assessment of Hyaluronates as Used in Cosmetics,cir_attachment:dd27a62b-d988-9d8d-aaff-51a43716120d:13:CONCLUSION:6,13,CONCLUSION,Potassium Hyaluronate,524a0419-b69d-4cc3-af02-347c9e2a0207,Potassium Hyaluronate,True,EXISTING_DOCUMENT_REUSE
Safety Assessment of Ceramides as Used in Cosmetics,cir_attachment:7a7dbaa1-8e74-ec11-8943-0022482f06a6:8:Conclusion:2,8,Conclusion,Ceramide AP,ff379bec-1ee4-4f8e-9407-e99d5c9cca5f,Ceramide AP,True,EXISTING_DOCUMENT_REUSE
Safety Assessment of Ceramides as Used in Cosmetics,cir_attachment:7a7dbaa1-8e74-ec11-8943-0022482f06a6:8:Conclusion:2,8,Conclusion,Ceramide EOP,3f32c6d8-afee-4f78-af50-83c4e972a1a9,Ceramide EOP,True,EXISTING_DOCUMENT_REUSE
Safety Assessment of Tocopherols and Tocotrienols as Used in Cosmetics,cir_attachment:297dbaa1-8e74-ec11-8943-0022482f06a6:31:Discussion:0,31,Discussion,Tocopheryl Acetate,7f204c2a-39f5-4d20-b993-2a5fcf50d776,tocopheryl acetate,True,EXISTING_DOCUMENT_REUSE
Safety Assessment of Tocopherols and Tocotrienols as Used in Cosmetics,cir_attachment:297dbaa1-8e74-ec11-8943-0022482f06a6:31:Discussion:1,31,Discussion,Tocopheryl Acetate,7f204c2a-39f5-4d20-b993-2a5fcf50d776,tocopheryl acetate,True,EXISTING_DOCUMENT_REUSE
